,CVE,DESCRIP
895,E123,"Diabetes mellitus asociada con desnutrición, con complicaciones oftálmicas"
896,E124,"Diabetes mellitus asociada con desnutrición, con complicaciones neurológicas"
897,E125,"Diabetes mellitus asociada con desnutrición, con complicaciones circulatorias periféricas"
898,E126,"Diabetes mellitus asociada con desnutrición, con otras complicaciones especificadas"
899,E127,"Diabetes mellitus asociada con desnutrición, con complicaciones múltiples"
900,E128,"Diabetes mellitus asociada con desnutrición, con complicaciones no especificadas"
901,E129,"Diabetes mellitus asociada con desnutrición, sin mención de complicación"
902,E131,"Otras Diabetes mellitus especificadas, con cetoacidosis"
903,E132,"Otras diabetes mellitus especificadas, con complicaciones renales"
904,E136,"Otras diabetes mellitus especificadas, con otras complicaciones especificadas"
905,E137,"Otras diabetes mellitus especificadas, con complicaciones múltiples"
906,E138,"Otras diabetes mellitus especificadas, con complicaciones no especificadas"
907,E139,"Otras diabetes mellitus especificadas, sin mención de complicación"
908,E140,"Diabetes mellitus no especificada, con coma"
909,E141,"Diabetes mellitus no especificada, con cetoacidosis"
910,E142,"Diabetes mellitus no especificada, con complicaciones renales"
911,E143,"Diabetes mellitus no especificada, con complicaciones oftálmicas"
912,E144,"Diabetes mellitus no especificada, con complicaciones neurológicas"
913,E145,"Diabetes mellitus no especificada, con complicaciones circulatorias periféricas"
914,E146,"Diabetes mellitus no especificada, con otras complicaciones especificadas"
915,E147,"Diabetes mellitus no especificada, con complicaciones múltiples"
916,E148,"Diabetes mellitus no especificada, con complicaciones no especificadas"
917,E149,"Diabetes mellitus no especificada, sin mención de complicación"
918,E15X,Coma hipoglicémico no diabético
919,E160,"Hipoglicemia sin coma, inducida por drogas"
920,E161,Otras hipoglicemias
921,E162,"Hipoglicemia, no especificada"
922,E164,Secreción anormal de gastrina
923,E169,"Trastornos de la secreción interna del páncreas, sin otra especificación"
924,E209,"Hipoparatiroidismo, no especificado"
925,E210,Hiperparatiroidismo primario
926,E211,Hiperparatiroidismo secundario no clasificado en otra parte
927,E213,"Hiperparatiroidismo, sin otra especificación"
928,E215,"Trastorno de la glándula paratiroides, no especificado"
929,E220,Acromegalia y gigantismo hipofisario
930,E222,Síndrome de secreción inapropiada de hormona anitidiurética
931,E230,Hipopituitarismo
932,E232,Diabetes insípida
933,E237,"Trastorno de la glándula hipófisis, no especificado"
934,E242,Síndrome de Cushing inducido por drogas
935,E249,"Síndrome de Cushing, no especificado"
936,E250,Trastornos adrenogenitales congénitos con deficiencia enzimática
937,E259,"Trastorno adrenogenital, no especificado"
938,E261,Hiperaldosteronismo secundario
939,E268,Otros tipos de hiperaldosteronismo
940,E269,"Hiperaldosteronismo, no especificado"
941,E271,Insuficiencia corticosuprarrenal primaria
942,E272,Crisis addisoniana
943,E273,Insuficiencia corticosuprarrenal inducida por drogas
944,E274,Otras insuficiencias corticosuprarrenales y las no especificadas
945,E275,Hiperfunción de la médula suprarrenal
946,E278,Otros trastornos especificados de la glándula suprarrenal
947,E279,"Trastorno de la glándula suprarrenal, no especificado"
948,E340,Síndrome carcinoide
949,E348,Otros trastornos endocrinos especificados
950,E349,"Trastorno endocrino, no especificado"
951,E40X,Kwashiorkor
952,E41X,Marasmo nutricional
953,E42X,Kwashiorkor marasmático
954,E43X,"Desnutrición proteicocalórica severa, no especificada"
955,E440,Desnutrición proteicocalórica moderada
956,E441,Desnutrición proteicocalórica leve
957,E45X,Retardo del desarrollo debido a desnutrición proteicocalórica
958,E46X,"Desnutrición proteicocalórica, no especificada"
959,E512,Encefalopatía de Wernicke
960,E539,"Deficiencia de vitamina B, no especificada"
961,E569,"Deficiencia de vitamina, no especificada"
962,E610,Deficiencia de cobre
963,E639,"Deficiencia nutricional, no especificada"
964,E640,Secuelas de la desnutrición proteicocalórica
965,E643,Secuelas del raquitismo
966,E648,Secuelas de otras deficiencias nutricionales
967,E649,Secuelas de la deficiencia nutricional no especificada
968,E660,Obesidad debida a exceso de calorías
969,E661,Obesidad inducida por drogas
970,E662,Obesidad extrema con hipoventilación alveolar
971,E668,Otros tipos de obesidad
972,E669,"Obesidad, no especificada"
973,E701,Otras hiperfenilalaninemias
974,E703,Albinismo
975,E709,"Trastorno del metabolismo de los aminoácidos aromáticos, no especificado"
976,E710,Enfermedad de la orina en jarabe de arce
977,E711,Otros trastornos del metabolismo de los aminoácidos de cadena ramificada
978,E713,Trastornos del metabolismo de los ácidos grasos
979,E720,Trastornos del transporte de los aminoácidos
980,E722,Trastornos del metabolismo del ciclo de la urea
981,E728,Otros trastornos especificados del metabolismo de los aminoácidos
982,E729,"Trastorno del metabolismo de los aminoácidos, no especificado"
983,E740,Enfermedad del almacenamiento de glucógeno
984,E742,Trastorno del metabolismo de la galactosa
985,E743,Otros trastornos de la absorción intestinal de carbohidratos
986,E748,Otros trastornos especificados del metabolismo de los carbohidratos
987,E749,"Trastorno del metabolismo de los carbohidratos, no especificado"
988,E750,Gangliosidosis GM2
989,E752,Otras esfingolipidosis
990,E754,Lipofuscinosis ceroide neuronal
991,E756,"Trastorno del almacenamiento de lípidos, no especificado"
992,E760,Mucopolisacaridosis tipo I
993,E761,Mucopolisacaridosis tipo II
994,E762,Otras mucopolisacaridosis
995,E763,Mucopolisacaridosis no especificada
996,E770,Defectos en la modificación postraslacional de enzimas lisosomales
997,E778,Otros trastornos del metabolismo de las glucoproteínas
998,E780,Hipercolesterolemia pura
999,E781,Hipergliceridemia pura
1000,E782,Hiperlipidemia mixta
1001,E783,Hiperquilomicronemia
1002,E785,Hiperlipidemia no especificada
1003,E786,Deficiencia de lipoproteínas
1004,E788,Otros trastornos del metabolismo de las lipoproteínas
1005,E789,"Trastorno del metabolismo de las lipoproteínas, no especificado"
1006,E790,Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofácea
1007,E791,Síndrome de Lesch-Nyhan
1008,E799,"Trastorno del metabolismo de las purinas y de las pirimidinas, no especificado"
1009,E802,Otras porfirias
1010,E805,Síndrome de Crigler-Najjar
1011,E806,Otros trastornos del metabolismo de la bilirrubina
1012,E807,"Trastorno del metabolismo de la bilirrubina, no especificado"
1013,E830,Trastornos del metabolismo del cobre
1014,E831,Trastornos del metabolismo del hierro
1015,E835,Trastornos del metabolismo del calcio
1016,E840,Fibrosis quística con manifestaciones pulmonares
1017,E841,Fibrosis quística con manifestaciones intestinales
1018,E848,Fibrosis quística con otras manifestaciones
1019,E849,"Fibrosis quística, sin otra especificación"
1020,E850,Amiloidosis heredofamiliar no neuropática
1021,E854,Amiloidosis limitada a un órgano
1022,E859,"Amiloidosis, no especificada"
1023,E86X,Depleción del volumen
1024,E870,Hiperosmolaridad e hipernatremia
1025,E871,Hiposmolaridad e hiponatremia
1026,E872,Acidosis
1027,E873,Alcalosis
1028,E874,Trastornos mixtos del balance ácido-básico
1029,E875,Hiperpotasemia
1030,E876,Hipopotasmia
1031,E877,Sobrecarga de líquidos
1032,E878,"Otros trastornos del equilibrio de los electrólitos y de los líquidos, no clasificados en otra parte"
1033,E880,"Trastornos del metabolismo de las proteínas plasmáticas, no clasificados en otra parte"
1034,E881,"Lipodistrofia, no clasificada en otra parte"
1035,E883,Síndrome de lisis tumoral
1036,E888,Otros trastornos especificados del metabolismo
1037,E889,"Trastorno metabólico, no especificado"
1038,F011,Demencia vascular por infartos múltiples
1039,F012,Demencia vascular subcortical
1040,F013,"Demencia vascular mixta, cortical y subcortical"
1041,F018,Otras demencia vasculares
1042,F019,"Demencia vascular, no especificada"
1043,F03X,"Demencia, no especificada"
1044,F058,Otros delirios
1045,F059,"Delirio, no especificado"
1046,F061,"Trastorno catatónico, orgánico"
1047,F067,Trastorno cognoscitivo leve
1048,F068,Otros trastornos mentales especificados debidos a lesión y disfunción cerebral y a enfermedad física
1049,F069,Trastorno mental no especificado debido a lesión y disfunción cerebral y a enfermedad física
1050,F072,Síndrome postconcusional
1051,F09X,"Trastorno mental orgánico o sintomático, no especificado"
1052,F101,"Trastornos mentales y del comportamiento debidos al uso de alcohol, uso nocivo"
1053,F102,"Trastornos mentales y del comportamiento debidos al uso de alcohol, síndrome de dependencia"
1054,F103,"Trastornos mentales y del comportamiento debidos al uso de alcohol, estado de abstinencia"
1055,F104,"Trastornos mentales y del comportamiento debidos al uso de alcohol, estado de abstinencia con delirio"
1056,F105,"Trastornos mentales y del comportamiento debidos al uso de alcohol, trastorno psicótico"
1057,F106,"Trastornos mentales y del comportamiento debidos al uso de alcohol, síndrome amnésico"
1058,F107,"Trastornos mentales y del comportamiento debidos al uso de alcohol, trastorno psicótico residual y de comienzo tardío"
1059,F108,"Trastornos mentales y del comportamiento debidos al uso de alcohol, otros trastornos mentales y del comportamiento"
1060,F112,"Trastornos mentales y del comportamiento debidos al uso de opiáceos, síndrome de dependencia"
1061,F122,"Trastornos mentales y del comportamiento debidos al uso de cannabinoides, síndrome de dependencia"
1062,F129,"Trastornos mentales y del comportamiento debidos al uso de cannabinoides, trastorno mental y del comportamiento, no especificado"
1063,F132,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos, síndrome de dependencia"
1064,F139,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos, trastornos mental y del comportamiento, no especificados"
1065,F141,"Trastornos mentales y del comportamiento debidos al uso de cocaína, uso nocivo"
1066,F142,"Trastornos mentales y del comportamiento debidos al uso de cocaína, síndrome de dependencia"
1067,F151,"Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeína, uso nocivo"
1068,F152,"Trastornos mentales y del comportamiento  debidos al uso de otros estimulantes, incluida la cafeína, síndrome de dependencia"
1069,F153,"Trastornos mentales y del comportamiento  debidos al uso de otros estimulantes, incluida la cafeína, estado de abstinencia"
1070,F161,"Trastornos mentales y del comportamiento debidos al uso de alucinógenos, uso nocivo"
1071,F162,"Trastornos mentales y del comportamiento debidos al uso de alucinógenos, síndrome de dependencia"
1072,F169,"Trastornos mentales y del comportamiento debidos al uso de alucinógenos, trastorno mental y del comportamiento, no especificado"
1073,F171,"Trastornos mentales y del comportamiento debidos al uso de tabaco, uso nocivo"
1074,F172,"Trastornos mentales y del comportamiento debidos al uso de tabaco, síndrome de dependencia"
1075,F179,"Trastornos mentales y del comportamiento debidos al uso de tabaco, trastorno mental y del comportamiento, no especificado"
1076,F181,"Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles, uso nocivo"
1077,F182,"Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles, síndrome de dependencia"
1078,F189,"Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles, trastorno mental y del comportamiento, no especificado"
1079,F191,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias  psicoactivas, uso nocivo"
1080,F192,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas, síndrome de dependencia"
1081,F193,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas, estado de abstinencia"
1082,F199,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas, trastorno mental y del comportamiento, no especificado"
1083,F200,Esquizofrenia paranoide
1084,F202,Esquizofrenia catatónica
1085,F203,Esquizofrenia indiferenciada
1086,F205,Esquizofrenia residual
1087,F209,"Esquizofrenia, no especificada"
1088,F220,Trastorno delirante
1089,F239,"Trastorno psicótico agudo y transitorio, no especificado"
1090,F250,Trastorno esquizoafectivo de tipo maníaco
1091,F251,Trastorno esquizoafectivo de tipo depresivo
1092,F259,"Trastorno esquizoafectivo, no especificado"
1093,F29X,"Psicosis de origen no orgánico, no especificada"
1094,F319,"Trastorno afectivo bipolar, no especificado"
1095,F321,Episodio depresivo moderado
1096,F322,Episodio depresivo grave sin síntomas psicóticos
1097,F323,Episodio depresivo grave con síntomas psicóticos
1098,F328,Otros episodios depresivos
1099,F329,"Episodio depresivo, no especificado"
1100,F332,"Trastorno depresivo recurrente, episodio depresivo grave presente sin síntomas psicóticos"
1101,F339,"Trastorno depresivo recurrente, no especificado"
1102,F410,Trastorno de pánico [ansiedad paroxística episódica]
1103,F411,Trastorno de ansiedad generalizada
1104,F412,Trastorno mixto de ansiedad y depresión
1105,F419,"Trastorno de ansiedad, no especificado"
1106,F438,Otras reacciones al estrés grave
1107,F439,"Reacción al estrés grave, no especificada"
1108,F444,Trastornos disociativos del movimiento
1109,F445,Convulsiones disociativas
1110,F448,Otros trastornos disociativos [de conversión]
1111,F449,"Trastorno disociativo [de conversión], no especificado"
1112,F489,"Trastorno neurótico, no especificado"
1113,F500,Anorexia nerviosa
1114,F502,Bulimia nerviosa
1115,F508,Otros trastornos de la ingestión de alimentos
1116,F509,"Trastorno de la ingestión de alimentos, no especificado"
1117,F54X,Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte
1118,F55X,Abuso de sustancias que no producen dependencia
1119,F69X,"Trastorno de la personalidad y del comportamiento en adultos, no especificado"
1120,F709,"Retraso mental leve, deterioro del comportamiento de grado no especificado"
1121,F719,"Retraso mental moderado, deterioro del comportamiento de grado no especificado"
1122,F729,"Retraso mental grave, deterioro del comportamiento de grado no especificado"
1123,F739,"Retraso mental profundo, deterioro del comportamiento de grado no especificado"
1124,F799,"Retraso mental, no especificado, deterioro del comportamiento de grado no especificado"
1125,F803,Afasia adquirida con epilepsia [Landau-Kleffner]
1126,F82X,Trastorno específico del desarrollo de la función motriz
1127,F83X,Trastornos específicos mixtos del desarrollo
1128,F840,Autismo en la niñez
1129,F842,Síndrome de Rett
1130,F88X,Otros trastornos del desarrollo psicológico
1131,F89X,"Trastorno del desarrollo psicológico, no especificado"
1132,G000,Meningitis por hemófilos
1133,G001,Meningitis  neumocócica
1134,G002,Meningitis estreptocócica
1135,G008,Otras meningitis bacterianas
1136,G009,"Meningitis bacteriana, no especificada"
1137,G030,Meningitis apiógena
1138,G031,Meningitis crónica
1139,G038,Meningitis debidas a otras causas especificadas
1140,G039,"Meningitis, no especificada"
1141,G040,Encefalitis aguda diseminada
1142,G042,"Meningoencefalitis y meningomielitis bacterianas, no clasificadas en otra parte"
1143,G048,"Otras encefalitis, mielitis y encefalomielitis"
1144,G049,"Encefalitis, mielitis y encefalomielitis, no especificadas"
1145,G060,Absceso y granuloma intracraneal
1146,G061,Absceso y granuloma intrarraquídeo
1147,G062,"Absceso extradural y subdural, no especificado"
1148,G08X,Flebitis y tromboflebitis intracraneal e intrarraquídea
1149,G09X,Secuelas de enfermedades inflamatorias del sistema nervioso central
1150,G10X,Enfermedad de Huntington
1151,G110,Ataxia congénita no progresiva
1152,G111,Ataxia cerebelosa de iniciación temprana
1153,G112,Ataxia cerebelosa de iniciación tardía
1154,G113,Ataxia cerebelosa con reparación defectuosa del ADN
1155,G114,Paraplejía espástica hereditaria
1156,G119,"Ataxia hereditaria, no especificada"
1157,G120,"Atrofia muscular espinal infantil, tipo I (Werdnig-Hoffman)"
1158,G121,Otras atrofias musculares espinales hereditarias
1159,G122,Enfermedades de las neuronas motoras
1160,G128,Otras atrofias musculares espinales y síndromes afines
1161,G129,"Atrofia muscular espinal, sin otra especificación"
1162,G20X,Enfermedad de Parkinson
1163,G210,Síndrome neuroléptico maligno
1164,G214,Parkinsonismo vascular
1165,G219,"Parkinsonismo secundario, no especificado"
1166,G230,Enfermedad de Hallervorden-Spatz
1167,G231,Oftalmoplejía supranuclear progresiva (Steele-Richardson-Olszewski)
1168,G232,"Atrofia sistémica múltipole, tipo parkinsoniana [AMS-P]"
1169,G233,Atrofia multisistémica tipo cerebelosa [AMS-C]
1170,G238,Otras enfermedades degenerativas específicas de los núcleos de la base
1171,G239,"Enfermedad degenerativa de los núcleos de la base, no especificada"
1172,G248,Otras distonías
1173,G249,"Distonía, no especificada"
1174,G255,Otras coreas
1175,G258,Otros trastornos extrapiramidales y del movimiento
1176,G259,"Trastorno extrapiramidal y del movimiento, no especificado"
1177,G300,Enfermedad de Alzheimer de comienzo temprano
1178,G301,Enfermedad de Alzheimer de comienzo tardío
1179,G308,Otros tipos de enfermedad de Alzheimer
1180,G309,"Enfermedad de Alzheimer, no especificada"
1181,G310,Atrofia cerebral circunscrita
1182,G311,Degeneración cerebral senil no clasificada en otra parte
1183,G312,Degeneración del sistema nervioso debida al alcohol
1184,G318,Otras enfermedades degenerativas especificadas del sistema nervioso
1185,G319,"Degeneración del sistema nervioso, no especificada"
1186,G35X,Esclerosis múltiple
1187,G360,Neuromielitis óptica (Devic)
1188,G361,Leucoencefalitis hemorrágica aguda y subaguda (Hurst)
1189,G369,"Desmielinización diseminada aguda, sin otra especificación"
1190,G370,Esclerosis difusa
1191,G371,Desmielinización central del cuerpo calloso
1192,G372,Mielinólisis central pontina
1193,G373,Mielitis transversa aguda en enfermedad desmielinizante del sistema nervioso central
1194,G378,"Otras enfermedades desmielinizantes del sistema nervioso central, especificadas"
1195,G379,"Enfermedad desmielinizante del sistema nervioso central, no especificada"
1196,G400,Epilepsia y síndromes epilépticos idiopáticos relacionados con localizaciones (focales)(parciales) y con ataques de inicio localizado
1197,G401,Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales)(parciales) y con ataques parciales simples
1198,G402,Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales)(parciales) y con ataques parciales complejos
1199,G403,Epilepsia y síndromes epilépticos idiopáticos generalizados
1200,G404,Otras epilepsias y síndromes epilépticos generalizados
1201,G405,Síndromes epilépticos especiales
1202,G406,"Ataques de gran mal, no especificados (con o sin pequeño mal)"
1203,G408,Otras epilepsias
1204,G409,"Epilepsia, tipo no especificado"
1205,G410,Estado de gran mal epiléptico
1206,G412,Estado de mal epiléptico parcial complejo
1207,G418,Otros estados epilépticos
1208,G419,Estado de mal epiléptico de tipo no especificado
1209,G440,Síndrome de cefalea en racimos
1210,G453,Amaurosis fugaz
1211,G459,"Isquemia cerebral transitoria, sin otra especificación"
1212,G473,Apnea del sueño
1213,G474,Narcolepsia y cataplexia
1214,G478,Otros trastornos del sueño
1215,G500,Neuralgia del trigémino
1216,G510,Parálisis de Bell
1217,G549,"Trastorno de la raíz y plexos nerviosos, no especificado"
1218,G600,Neuropatía hereditaria motora y sensorial
1219,G603,Neuropatía progresiva idiopática
1220,G608,Otras neuropatías hereditarias e idiopáticas
1221,G609,"Neuropatía hereditaria e idiopática, sin otra especificación"
1222,G610,Síndrome de Guillain-Barré
1223,G618,Otras polineuropatías inflamatorias
1224,G619,"Polineuropatía inflamatoria, no especificada"
1225,G621,Polineuropatía alcohólica
1226,G628,Otras polineuropatías especificadas
1227,G629,"Polineuropatía, no especificada"
1228,G64X,Otros trastornos del sistema nervioso periférico
1229,G700,Miastenia gravis
1230,G702,Miastenia congénita o del desarrollo
1231,G709,"Trastorno neuromuscular, no especificado"
1232,G710,Distrofia muscular
1233,G711,Trastornos miotónicos
1234,G712,Miopatías congénitas
1235,G713,"Miopatía mitocóndrica, no clasificada en otra parte"
1236,G718,Otros trastornos primarios de los músculos
1237,G719,"Trastorno primario del músculo, tipo no especificado"
1238,G723,Parálisis periódica
1239,G724,"Miopatía inflamatoria, no clasificada en otra parte"
1240,G728,Otras miopatías especificadas
1241,G729,"Miopatía, no especificada"
1242,G800,Parálisis cerebral espástica cuadripléjica
1243,G801,Parálisis cerebral espástica dipléjica
1244,G802,Parálisis cerebral espástica hemipléjica
1245,G803,Parálisis cerebral discinética
1246,G808,Otros tipos de parálisis cerebral
1247,G809,"Parálisis cerebral, sin otra especificación"
1248,G819,"Hemiplejía, no especificada"
1249,G820,Paraplejía flácida
1250,G821,Paraplejía espástica
1251,G822,"Paraplejía, no especificada"
1252,G824,Cuadriplejía espástica
1253,G825,"Cuadriplejía, no especificada"
1254,G831,Monoplejía de miembro inferior
1255,G834,Síndrome de la cola de caballo
1256,G839,"Síndrome paralítico, no especificado"
1257,G900,Neuropatía autónoma periférica idiopática
1258,G908,Otros Trastornos del sistema nervioso autónomo
1259,G909,"Trastorno del sistema nervioso autónomo, no especificado"
1260,G910,Hidrocéfalo comunicante
1261,G911,Hidrocéfalo obstructivo
1262,G912,Hidrocéfalo de presión normal
1263,G913,"Hidrocéfalo postraumático, sin otra especificación"
1264,G918,Otros tipos de hidrocéfalo
1265,G919,"Hidrocéfalo, no especificado"
1266,G92X,Encefalopatía tóxica
1267,G930,Quiste cerebral
1268,G931,"Lesión cerebral anóxica, no clasificada en otra parte"
1269,G932,Hipertensión intracraneal benigna
1270,G933,Síndrome de fatiga postviral
1271,G934,Encefalopatía no especificada
1272,G935,Compresión del encéfalo
1273,G936,Edema cerebral
1274,G937,Síndrome de Reye
1275,G938,Otros Trastornos especificados del encéfalo
1276,G939,"Trastorno del encéfalo, no especificado"
1277,G950,Siringomielia y siringobulbia
1278,G951,Mielopatías vasculares
1279,G952,"Compresión medular, no especificada"
1280,G958,Otras enfermedades especificadas de la médula espinal
1281,G959,"Enfermedad de la médula espinal, no especificada"
1282,G960,Pérdida de líquido cefalorraquídeo
1283,G961,"Trastornos de las meninges, no clasificados en otra parte"
1284,G968,Otros trastornos especificados del sistema nervioso central
1285,G969,"Trastorno del sistema nervioso central, no especificado"
1286,G98X,"Otros trastornos del sistema nervioso, no clasificados en otra parte"
1287,H050,Inflamación aguda de la órbita
1288,H269,"Catarata, no especificada"
1289,H409,"Glaucoma, no especificado"
1290,H440,Endoftalmitis purulenta
1291,H498,Otros estrabismos paralíticos
1292,H540,Ceguera binocular
1293,H549,Deficiencia visual no especificada (binocular)
1294,H660,Otitis media supurativa aguda
1295,H664,"Otitis media supurativa, sin otra especificación"
1296,H669,"Otitis media, no especificada"
1297,H700,Mastoiditis aguda
1298,H701,Mastoiditis crónica
1299,H708,Otras mastoiditis y afecciones relacionadas
1300,H709,"Mastoiditis, no especificada"
1301,H812,Neuronitis vestibular
1302,H819,"Trastorno de la función vestibular, no especificado"
1303,I00X,Fiebre reumática sin mención de complicación cardíaca
1304,I010,Pericarditis reumática aguda
1305,I011,Endocarditis reumática aguda
1306,I012,Miocarditis reumática aguda
1307,I018,Otras enfermedades reumáticas agudas del corazón
1308,I019,"Enfermedad reumática aguda del corazón, no especificada"
1309,I029,Corea reumática sin mención de complicación cardíaca
1310,I050,Estenosis mitral
1311,I051,Insuficiencia mitral reumática
1312,I052,Estenosis mitral con insuficiencia
1313,I058,Otras enfermedades de la válvula mitral
1314,I059,"Enfermedad valvular mitral, no especificada"
1315,I060,Estenosis aórtica reumática
1316,I061,Insuficiencia aórtica reumática
1317,I062,Estenosis aórtica reumática con insuficiencia
1318,I069,"Enfermedad valvular aórtica reumática, no especificada"
1319,I070,Estenosis tricúspide
1320,I071,Insuficiencia tricúspide
1321,I072,Estenosis e insuficiencia tricúspide
1322,I078,Otras enfermedades de la válvula tricúspide
1323,I079,"Enfermedad de la válvula tricúspide, no especificada"
1324,I080,Trastornos de las válvulas mitral y aórtica
1325,I081,Trastornos de las válvulas mitral y tricúspide
1326,I082,Trastornos de las válvulas aórtica y tricúspide
1327,I083,"Trastornos combinados de las válvulas mitral, tricúspide y aórtica"
1328,I089,"Enfermedad de múltiples válvulas, no especificada"
1329,I090,Miocarditis reumática
1330,I091,"Enfermedades reumáticas del endocardio, válvula no especificada"
1331,I098,Otras enfermedades reumáticas especificadas del corazón
1332,I099,"Enfermedad reumática del corazón, no especificada"
1333,I10X,Hipertensión esencial (primaria)
1334,I110,Enfermedad cardíaca hipertensiva con insuficiencia cardíaca (congestiva)
1335,I119,Enfermedad cardíaca hipertensiva sin insuficiencia cardíaca (congestiva)
1336,I120,Enfermedad renal hipertensiva con insuficiencia renal
1337,I129,Enfermedad renal hipertensiva sin insuficiencia renal
1338,I130,Enfermedad cardiorrenal hipertensiva con insuficiencia cardíaca (congestiva)
1339,I131,Enfermedad cardiorrenal hipertensiva con insuficiencia renal
1340,I132,Enfermedad cardiorrenal hipertensiva con insuficiencia cardíaca (congestivas) e insuficiencia renal
1341,I139,"Enfermedad cardiorrenal hipertensiva, no especificada"
1342,I150,Hipertensión renovascular
1343,I158,Otros tipos de hipertensión secundaria
1344,I159,"Hipertensión secundaria, no especificada"
1345,I200,Angina inestable
1346,I209,"Angina de pecho, no especificada"
1347,I210,Infarto transmural agudo del miocardio de la pared anterior
1348,I211,Infarto transmural agudo del miocardio de la pared inferior
1349,I212,Infarto agudo transmural del miocardio de otros sitios
1350,I213,"Infarto transmural agudo del miocardio, de sitio no especificado"
1351,I214,Infarto subendocárdico agudo del miocardio
1352,I219,"Infarto agudo del miocardio, sin otra especificación"
1353,I229,"Infarto subsecuente del miocardio, de parte no especificada"
1354,I248,Otras formas de enfermedad isquémica aguda del corazón
1355,I249,"Enfermedad isquémica aguda del corazón, no especificada"
1356,I250,"Enfermedad cardiovascular aterosclerótica, así descrita"
1357,I251,Enfermedad aterosclerótica del corazón
1358,I253,Aneurisma cardíaco
1359,I254,Aneurisma de arteria coronaria
1360,I255,Cardiomiopatía isquémica
1361,I256,Isquemia silente del miocardio
1362,I258,Otras formas de enfermedad isquémica crónica del corazón
1363,I259,"Enfermedad isquémica crónica del corazón, no especificada"
1364,I260,Embolia pulmonar con mención de corazón pulmonar agudo
1365,I269,Embolia pulmonar sin mención de corazón pulmonar agudo
1366,I270,Hipertensión pulmonar primaria
1367,I272,Otras hipertensiones pulmonares secundarias
1368,I278,Otras enfermedades cardiopulmonares especificadas
1369,I279,"Enfermedad pulmonar del corazón, no especificada"
1370,I281,Aneurisma de la arteria pulmonar
1371,I288,Otras enfermedades especificadas de los vasos pulmonares
1372,I289,"Enfermedad de los vasos pulmonares, no especificada"
1373,I301,Pericarditis infecciosa
1374,I309,"Pericarditis aguda, no especificada"
1375,I311,Pericarditis constrictiva crónica
1376,I312,"Hemopericardio, no clasificado en otra parte"
1377,I313,Derrame pericárdico (no inflamatorio)
1378,I319,"Enfermedad del pericardio, no especificada"
1379,I330,Endocarditis infecciosa aguda y subaguda
1380,I339,"Endocarditis aguda, no especificada"
1381,I340,Insuficiencia (de la válvula) mitral
1382,I341,Prolapso (de la válvula) mitral
1383,I342,"Estenosis (de la válvula) mitral, no reumática"
1384,I348,Otros trastornos no reumáticos de la válvula mitral
1385,I349,"Trastorno mitral no reumático, no especificado"
1386,I350,Estenosis (de la válvula) aórtica
1387,I351,Insuficiencia (de la válvula) aórtica
1388,I352,Estenosis (de la válvula) aórtica con insuficiencia
1389,I358,Otros trastornos de la válvula aórtica
1390,I359,"Trastorno de la válvula aórtica, no especificado"
1391,I361,Insuficiencia no reumática (de la válvula) tricúspide
1392,I370,Estenosis de la válvula pulmonar
1393,I378,Otros trastornos de la válvula pulmonar
1394,I38X,"Endocarditis, válvula no especificada"
1395,I400,Miocarditis infecciosa
1396,I409,"Miocarditis aguda, no especificada"
1397,I420,Cardiomiopatía dilatada
1398,I421,Cardiomiopatía hipertrófica obstructiva
1399,I422,Otras cardiomiopatías hipertróficas
1400,I424,Fibroelastosis endocárdica
1401,I425,Otras cardiomiopatías restrictivas
1402,I426,Cardiomiopatía alcohólica
1403,I427,Cardiomiopatía debida a drogas y otros agentes externos
1404,I428,Otras cardiomiopatías
1405,I429,"Cardiomiopatía, no especificada"
1406,I440,Bloqueo auriculoventricular de primer grado
1407,I441,Bloqueo auriculoventricular de segundo grado
1408,I442,Bloqueo auriculoventricular completo
1409,I443,Otros tipos de bloqueo auriculoventricular y los no especificados
1410,I447,"Bloqueo de rama izquierda del haz, sin otra especificación"
1411,I451,Otros tipos de bloqueo de rama derecha del haz y los no especificados
1412,I453,Bloqueo trifascicular
1413,I454,Bloqueo intraventricular no especificado
1414,I455,Otros tipos especificados de bloqueo del corazón
1415,I456,Síndrome de preexcitación
1416,I458,Otros trastornos especificados de la conducción
1417,I459,"Trastorno de la conducción, no especificado"
1418,I470,Arritmia por reentrada ventricular
1419,I471,Taquicardia supraventricular
